Longitude,Latitude,TotalPowerDbm
117.526,24.4978,-50.3962
117.526,24.5068,-54.3862
117.526,24.5158,-46.313
117.526,24.5248,-57.0806
117.526,24.5338,-49.0071
117.526,24.5428,-60.981
117.526,24.5517,-60.2402
117.526,24.5607,-55.6477
117.526,24.5697,-58.7253
117.526,24.5787,-58.1577
117.526,24.5877,-59.7035
117.526,24.5967,-56.6289
117.526,24.6057,-52.2464
117.526,24.6147,-57.5647
117.526,24.6237,-62.7885
117.526,24.6327,-55.57
117.526,24.6417,-61.7122
117.526,24.6507,-54.81
117.526,24.6597,-61.0951
117.526,24.6687,-59.4453
117.526,24.6777,-65.3672
117.526,24.6866,-68.4711
117.526,24.6956,-61.5462
117.526,24.7046,-50.0978
117.526,24.7136,-59.9789
117.526,24.7226,-62.3065
117.526,24.7316,-60.1316
117.526,24.7406,-63.2542
117.526,24.7496,-64.3164
117.536,24.21,-59.1078
117.536,24.219,-59.1867
117.536,24.228,-61.8458
117.536,24.237,-62.6739
117.536,24.246,-58.9189
117.536,24.255,-67.375
117.536,24.264,-61.1615
117.536,24.273,-59.1497
117.536,24.2819,-58.4274
117.536,24.2909,-59.0866
117.536,24.2999,-63.7818
117.536,24.3089,-59.0048
117.536,24.3179,-53.9512
117.536,24.3269,-57.4467
117.536,24.3359,-57.6062
117.536,24.3449,-54.4231
117.536,24.3539,-58.4063
117.536,24.3629,-57.9622
117.536,24.3719,-59.257
117.536,24.3809,-58.5203
117.536,24.3899,-58.2714
117.536,24.3989,-63.8128
117.536,24.4079,-60.212
117.536,24.4168,-57.5063
117.536,24.4258,-53.7196
117.536,24.4348,-56.562
117.536,24.4438,-55.5455
117.536,24.4528,-59.6765
117.536,24.4618,-50.0094
117.536,24.4708,-50.8814
117.536,24.4798,-48.807
117.536,24.4888,-57.203
117.536,24.4978,-55.7765
117.536,24.5068,-62.3198
117.536,24.5158,-45.7193
117.536,24.5248,-53.4698
117.536,24.5338,-56.6916
117.536,24.5428,-48.0615
117.536,24.5517,-52.5932
117.536,24.5607,-54.2423
117.536,24.5697,-51.0451
117.536,24.5787,-54.9425
117.536,24.5877,-57.531
117.536,24.5967,-58.9597
117.536,24.6057,-56.1925
117.536,24.6147,-58.6392
117.536,24.6237,-64.827
117.536,24.6327,-61.9137
117.536,24.6417,-59.7391
117.536,24.6507,-56.2943
117.536,24.6597,-54.0818
117.536,24.6687,-60.5533
117.536,24.6777,-63.0637
117.536,24.6866,-59.5801
117.536,24.6956,-67.0626
117.536,24.7046,-51.6929
117.536,24.7136,-63.259
117.536,24.7226,-60.3952
117.536,24.7316,-59.3146
117.536,24.7406,-60.4168
117.536,24.7496,-59.011
117.546,24.21,-58.0549
117.546,24.219,-62.4921
117.546,24.228,-71.0879
117.546,24.237,-66.8426
117.546,24.246,-57.7975
117.546,24.255,-64.9292
117.546,24.264,-59.3617
117.546,24.273,-55.9224
117.546,24.2819,-55.5521
117.546,24.2909,-55.5338
